alarm_id,device_id,start_timestamp,end_timestamp
4,404,15,15
0,381,34,34
6,263,65,65
0,263,67,67
2,263,75,75
2,263,86,86
0,141,117,117
2,141,127,127
3,66,130,130
2,141,132,132
20,59,156,156
20,283,156,156
7,283,156,156
8,283,157,157
5,59,157,157
7,283,158,158
5,59,159,159
3,66,165,165
3,66,200,200
3,66,220,220
4,406,245,245
1,235,251,251
3,235,251,251
3,455,253,253
1,455,253,253
4,404,333,333
0,381,356,356
6,263,390,390
0,263,392,392
3,66,397,397
1,31,398,398
3,31,398,398
2,263,400,400
1,342,401,401
3,342,401,401
1,61,408,408
3,61,408,408
3,66,430,430
0,141,440,440
2,263,448,448
2,141,449,449
3,66,465,465
2,141,494,494
3,66,500,500
3,66,535,535
3,66,570,570
4,406,574,574
3,66,605,605
3,66,640,640
4,404,665,665
3,66,675,675
0,381,678,678
4,404,680,680
6,263,715,715
0,263,717,717
0,263,723,723
2,263,725,725
2,263,749,749
0,141,763,763
5,457,768,768
10,457,770,770
2,141,771,771
2,141,796,796
10,457,829,829
4,406,908,908
4,404,998,998
0,381,1000,1000
4,404,1012,1012
6,263,1036,1036
0,263,1038,1038
2,263,1046,1046
2,263,1050,1050
0,141,1085,1085
2,141,1094,1094
2,141,1097,1097
18,298,1114,1114
0,224,1216,1216
4,406,1238,1238
2,224,1287,1287
1,455,1301,1301
3,455,1301,1301
1,235,1312,1312
3,235,1312,1312
0,381,1325,1325
4,404,1329,1329
4,404,1343,1343
4,404,1358,1358
6,263,1359,1359
0,263,1361,1361
2,263,1369,1369
3,31,1379,1379
1,31,1379,1379
3,342,1388,1388
1,342,1388,1388
1,61,1389,1389
3,61,1389,1389
0,141,1410,1410
2,263,1411,1411
2,141,1419,1419
1,70,1451,1451
3,70,1451,1451
1,121,1451,1451
3,121,1451,1451
3,462,1452,1452
1,462,1452,1452
1,296,1453,1453
3,296,1453,1453
1,394,1454,1454
3,38,1454,1454
3,394,1454,1454
1,38,1454,1454
3,173,1455,1455
1,173,1455,1455
2,141,1458,1458
3,205,1459,1459
3,42,1459,1459
1,42,1459,1459
1,205,1459,1459
3,463,1461,1461
1,463,1461,1461
4,110,1504,1504
1,197,1537,1537
3,197,1537,1537
4,406,1569,1569
0,381,1648,1648
4,404,1661,1661
6,263,1681,1681
0,263,1682,1682
4,404,1690,1690
2,263,1691,1691
2,263,1713,1713
0,141,1733,1733
2,141,1741,1741
2,141,1759,1759
4,406,1899,1899
0,381,1970,1970
8,348,1979,1979
5,324,1981,1981
9,348,1984,1984
9,324,1986,1986
7,348,1988,1988
4,404,1994,1994
8,348,1999,1999
7,348,2003,2003
6,263,2004,2004
0,263,2005,2005
4,404,2012,2012
2,263,2014,2014
0,141,2056,2056
13,55,2164,2164
2,55,2167,2167
0,445,2229,2229
4,406,2230,2230
0,381,2293,2293
4,404,2326,2326
6,263,2326,2326
0,263,2328,2328
2,263,2336,2336
0,263,2340,2340
2,263,2376,2376
0,141,2377,2377
2,141,2386,2386
2,141,2422,2422
9,348,2460,2460
8,348,2460,2460
5,324,2461,2461
9,324,2462,2462
7,348,2467,2467
4,110,2469,2469
14,348,2474,2474
4,406,2561,2561
8,348,2578,2578
0,381,2616,2616
7,21,2639,2639
11,21,2646,2646
6,263,2648,2648
0,263,2649,2649
2,263,2657,2657
4,404,2658,2658
2,263,2677,2677
0,141,2700,2700
2,141,2709,2709
2,141,2723,2723
9,348,2835,2835
8,348,2835,2835
5,324,2836,2836
9,324,2836,2836
7,348,2838,2838
7,348,2849,2849
16,348,2849,2849
4,406,2894,2894
0,381,2938,2938
6,263,2972,2972
0,263,2974,2974
4,404,2988,2988
0,11,3009,3009
2,11,3010,3010
13,11,3010,3010
6,11,3010,3010
0,141,3023,3023
16,348,3033,3033
7,348,3033,3033
8,348,3060,3060
4,406,3226,3226
0,381,3261,3261
3,400,3262,3262
5,210,3277,3277
9,210,3278,3278
6,263,3294,3294
0,263,3295,3295
3,400,3297,3297
2,263,3304,3304
0,263,3311,3311
6,11,3316,3316
0,11,3318,3318
